repository
mozilla-central
mozilla-1.9.2
comm-central
comm-1.9.2
comm-central-trunk
mozilla-central-android
mozilla-release
mozilla-beta
mozilla-aurora
mozilla-aurora-android
mozilla-esr10
mozilla-esr10-android
release
