uptime_level,uptime_string,min_uptime,max_uptime
1,< 1 min,00:00:00,00:01:00
2,1-5 min,00:01:00,00:05:00
3,5-15 min,00:05:00,00:15:00
4,15-60 min,00:15:00,01:00:00
5,> 1 hour,01:00:00,1 year
