firefox,3.0.19,2010031218,Release,,linux
firefox,3.0.19,2010031422,Release,,win32
firefox,3.5.16,20101130074614,Release,,linux
firefox,3.5.16,20101130074636,Release,,win32
firefox,3.5.17,20110121161846,Release,,linux
firefox,3.5.17,20110121150729,Release,,win32
firefox,3.5.18,20110319140258,Release,,linux
firefox,3.5.18,20110319140258,Release,,win32
firefox,3.5.19,20110420144310,Release,,linux
firefox,3.5.19,20110420144310,Release,,win32
firefox,3.6.13,20101203074139,Release,,linux
firefox,3.6.13,20101203075014,Release,,win32
firefox,3.6.14,20110218124314,Release,,linux
firefox,3.6.14,20110218125750,Release,,win32
firefox,3.6.15,20110303024323,Release,,linux
firefox,3.6.15,20110303024726,Release,,win32
firefox,3.6.16,20110319135224,Release,,linux
firefox,3.6.16,20110319135224,Release,,win32
firefox,3.6.17,20110420140830,Release,,linux
firefox,3.6.17,20110420140830,Release,,win32
firefox,3.6.18,20110614230723,Release,,linux
firefox,3.6.18,20110614230723,Release,,win32
firefox,3.6.19,20110707195905,Release,,linux
firefox,3.6.19,20110707195905,Release,,win32
firefox,4.0.1,20110413222027,Release,,linux64
firefox,4.0.1,20110413222027,Release,,linux
firefox,4.0.1,20110413222027,Release,,macosx64
firefox,4.0.1,20110413222027,Release,,win32
firefox,4.0,20110203141146,Beta,11,linux64
firefox,4.0,20110203140750,Beta,11,linux
firefox,4.0,20110203140743,Beta,11,macosx64
firefox,4.0,20110203141415,Beta,11,win32
firefox,4.0,20110222212644,Beta,12,linux64
firefox,4.0,20110222205441,Beta,12,linux
firefox,4.0,20110222205430,Beta,12,macosx64
firefox,4.0,20110222210221,Beta,12,win32
firefox,4.0rc1,20110303144013,Release,,linux64
firefox,4.0rc1,20110303140816,Release,,linux
firefox,4.0rc1,20110303140758,Release,,macosx64
firefox,4.0rc1,20110303194838,Release,,win32
firefox,4.0rc2,20110318052756,Release,,linux64
firefox,4.0rc2,20110318052756,Release,,linux
firefox,4.0rc2,20110318052756,Release,,macosx64
firefox,4.0rc2,20110318052756,Release,,win32
firefox,5.0,20110615151330,Release,,linux64
firefox,5.0,20110615151330,Release,,linux
firefox,5.0,20110615151330,Release,,macosx64
firefox,5.0,20110615151330,Release,,win32
firefox,5.0.1,20110707182747,Release,,linux64
firefox,5.0.1,20110707182747,Release,,linux
firefox,5.0.1,20110707182747,Release,,macosx64
firefox,5.0.1,20110707182747,Release,,win32
firefox,5.0,20110427143820,Beta,1,linux64
firefox,5.0,20110427143820,Beta,1,linux
firefox,5.0,20110427143820,Beta,1,macosx64
firefox,5.0,20110427143820,Beta,1,win32
firefox,5.0,20110517192056,Beta,2,linux64
firefox,5.0,20110517192056,Beta,2,linux
firefox,5.0,20110517192056,Beta,2,macosx64
firefox,5.0,20110517192056,Beta,2,win32
firefox,5.0,20110527093235,Beta,3,linux64
firefox,5.0,20110527093235,Beta,3,linux
firefox,5.0,20110527093235,Beta,3,macosx64
firefox,5.0,20110527093235,Beta,3,win32
firefox,5.0,20110603100923,Beta,4,linux64
firefox,5.0,20110603100923,Beta,4,linux
firefox,5.0,20110603100923,Beta,4,macosx64
firefox,5.0,20110603100923,Beta,4,win32
firefox,5.0,20110608151458,Beta,5,linux64
firefox,5.0,20110608151458,Beta,5,linux
firefox,5.0,20110608151458,Beta,5,macosx64
firefox,5.0,20110608151458,Beta,5,win32
firefox,5.0,20110613165758,Beta,6,linux64
firefox,5.0,20110613165758,Beta,6,linux
firefox,5.0,20110613165758,Beta,6,macosx64
firefox,5.0,20110613165758,Beta,6,win32
firefox,5.0,20110614174314,Beta,7,linux64
firefox,5.0,20110614174314,Beta,7,linux
firefox,5.0,20110614174314,Beta,7,macosx64
firefox,5.0,20110614174314,Beta,7,win32
firefox,6.0,20110705195857,Beta,1,linux64
firefox,6.0,20110705195857,Beta,1,linux
firefox,6.0,20110705195857,Beta,1,macosx64
firefox,6.0,20110705195857,Beta,1,win32
firefox,6.0,20110713171652,Beta,2,linux64
firefox,6.0,20110713171652,Beta,2,linux
firefox,6.0,20110713171652,Beta,2,macosx64
firefox,6.0,20110713171652,Beta,2,win32
firefox,6.0,20110721152715,Beta,3,linux64
firefox,6.0,20110721152715,Beta,3,linux
firefox,6.0,20110721152715,Beta,3,macosx64
firefox,6.0,20110721152715,Beta,3,win32
